dataset,prompt_tokens,full_elapsed_sec,kvmanage_elapsed_sec,speedup
combined,13047,6.4500,6.1600,1.0471
combined,13240,6.5000,6.5100,0.9985
combined,14047,6.4500,5.3000,1.2170
combined,14296,6.7400,6.9500,0.9698
combined,14525,6.4900,5.2400,1.2385
combined,14780,6.9400,7.1900,0.9652
combined,15047,6.8000,5.3900,1.2616
combined,15352,7.0000,7.1000,0.9859
combined,15541,6.9700,7.0300,0.9915
combined,15852,6.5300,7.6100,0.8581
combined,16047,6.9500,5.6200,1.2367
combined,16408,6.9400,7.4900,0.9266
combined,16557,7.2700,5.9000,1.2322
combined,16924,7.6400,8.0500,0.9491
combined,17047,7.3000,5.8800,1.2415
combined,17191,5.5000,5.8700,0.9370
combined,17464,7.4800,6.9100,1.0825
combined,17573,7.5300,5.9600,1.2634
combined,17996,7.5900,6.9200,1.0968
combined,18047,7.5200,6.0200,1.2492
combined,18207,7.7700,6.0000,1.2950
combined,18461,7.2300,6.0200,1.2010
combined,18520,7.4400,7.4800,0.9947
combined,18589,7.8100,6.1500,1.2699
combined,18666,8.0400,7.2600,1.1074
combined,19047,7.7700,5.9800,1.2993
combined,19068,8.0400,7.8600,1.0229
combined,19223,8.0200,6.2000,1.2935
combined,19477,8.1700,6.3600,1.2846
combined,19576,7.9200,8.1500,0.9718
combined,19605,8.2300,6.4300,1.2799
combined,19738,7.3000,7.6500,0.9542
combined,20006,7.8500,7.8200,1.0038
combined,20047,8.0500,6.2100,1.2963
combined,20140,8.1500,8.0300,1.0149
combined,20239,8.3300,6.4000,1.3016
combined,20493,8.4300,6.5200,1.2929
combined,20621,6.5900,6.6000,0.9985
combined,20632,8.5200,8.3700,1.0179
combined,20810,8.1100,8.1200,0.9988
combined,21047,8.1900,6.5200,1.2561
combined,21078,7.9200,7.5800,1.0449
combined,21212,8.6300,7.7900,1.1078
combined,21255,8.4900,6.5300,1.3002
combined,21509,8.3600,6.0700,1.3773
combined,21637,6.9100,6.8000,1.0162
combined,21688,8.6200,7.4900,1.1509
combined,21882,9.0500,7.6100,1.1892
combined,22047,8.4000,6.6300,1.2670
combined,22145,6.6900,6.8600,0.9752
combined,22150,9.0600,7.7600,1.1675
combined,22271,6.9900,6.1600,1.1347
combined,22284,9.3000,8.5000,1.0941
combined,22525,7.1500,5.8100,1.2306
combined,22653,9.0500,6.2900,1.4388
combined,22744,9.0500,8.4100,1.0761
combined,22820,9.1900,8.0400,1.1430
combined,22954,9.0200,8.0500,1.1205
combined,23047,8.5100,6.2700,1.3573
combined,23161,9.2900,6.9500,1.3367
combined,23222,9.1000,8.1900,1.1111
combined,23287,7.2400,6.7700,1.0694
combined,23356,9.4700,8.4800,1.1167
combined,23415,9.2500,6.7800,1.3643
combined,23541,7.3900,6.6100,1.1180
combined,23669,9.4200,6.9200,1.3613
combined,23800,9.3200,8.7000,1.0713
combined,23892,9.4700,8.0900,1.1706
combined,24026,9.4700,9.4600,1.0011
combined,24047,7.6200,7.3500,1.0367
combined,24160,9.6000,8.3200,1.1538
combined,24177,9.5100,8.9600,1.0614
combined,24294,9.8100,8.1900,1.1978
combined,24303,7.6500,7.5900,1.0079
combined,24428,9.9500,9.1900,1.0827
combined,24431,7.8200,6.6300,1.1795
combined,24557,7.7800,6.7500,1.1526
combined,24685,7.9200,6.7500,1.1733
combined,24856,9.7200,9.2800,1.0474
combined,24964,9.7900,8.9200,1.0975
combined,25047,9.5800,7.2900,1.3141
combined,25098,9.3200,8.0100,1.1635
combined,25193,7.8500,8.7600,0.8961
combined,25232,9.0900,9.4200,0.9650
combined,25319,8.0100,8.6500,0.9260
combined,25366,9.6400,8.2900,1.1628
combined,25447,8.1500,9.3500,0.8717
combined,25500,10.1500,9.5200,1.0662
combined,25573,7.9700,6.8200,1.1686
combined,25701,8.1400,6.9100,1.1780
combined,25912,9.5600,9.5900,0.9969
combined,26036,10.2800,8.3600,1.2297
combined,26047,8.0800,7.5600,1.0688
combined,26170,10.0500,9.4300,1.0657
combined,26209,8.1200,7.3900,1.0988
combined,26304,10.3300,8.6200,1.1984
combined,26335,8.2500,6.8800,1.1991
combined,26438,10.1200,8.6400,1.1713
combined,26463,8.2300,6.4700,1.2720
combined,26572,10.7600,9.0600,1.1876
combined,26589,8.3500,6.5000,1.2846
combined,26717,8.4900,6.6300,1.2805
combined,26968,10.7000,9.4100,1.1371
combined,27047,8.4900,7.8000,1.0885
combined,27108,9.9700,8.6500,1.1526
combined,27225,8.5400,7.7700,1.0991
combined,27242,9.7100,9.7200,0.9990
combined,27351,8.5400,7.6500,1.1163
combined,27376,10.7900,9.6200,1.1216
combined,27479,8.6300,7.1900,1.2003
combined,27510,10.7600,9.9100,1.0858
combined,27605,8.8200,7.2700,1.2132
combined,27644,10.5500,9.8300,1.0732
combined,27733,8.7400,7.2200,1.2105
combined,28024,10.3300,10.0600,1.0268
combined,28047,8.8200,9.0900,0.9703
combined,28180,10.5400,9.4600,1.1142
combined,28241,8.8800,7.7500,1.1458
combined,28314,10.4900,9.5500,1.0984
combined,28367,8.9100,7.9500,1.1208
combined,28448,11.1600,9.1600,1.2183
combined,28495,9.0500,7.3700,1.2280
combined,28582,10.9400,9.6700,1.1313
combined,28621,9.0400,7.4800,1.2086
combined,28716,10.8800,10.1700,1.0698
combined,28749,9.0700,8.2700,1.0967
combined,29047,9.2600,7.4900,1.2363
combined,29080,11.3000,10.4200,1.0845
combined,29252,11.1000,9.8800,1.1235
combined,29257,9.2400,7.4500,1.2403
combined,29383,9.3500,7.3700,1.2687
combined,29386,11.3300,9.9600,1.1376
combined,29511,9.4700,7.6500,1.2379
combined,29520,11.6700,10.0200,1.1647
combined,29637,9.4700,7.6300,1.2412
combined,29654,11.4300,10.3400,1.1054
combined,29765,9.6700,8.5000,1.1376
combined,29788,12.0400,9.5000,1.2674
combined,30136,11.7500,10.1500,1.1576
combined,30273,11.6800,7.6300,1.5308
combined,30324,11.7700,9.5500,1.2325
combined,30399,11.7600,8.4400,1.3934
combined,30458,11.7800,9.9200,1.1875
combined,30527,9.8800,7.8300,1.2618
combined,30592,12.0300,9.3500,1.2866
combined,30653,9.8000,7.7300,1.2678
combined,30726,12.1100,9.3600,1.2938
combined,30860,11.5300,9.6100,1.1998
combined,31192,12.3700,9.0400,1.3684
combined,31289,10.1200,7.7600,1.3041
combined,31396,12.2500,9.0200,1.3581
combined,31415,12.1700,7.8200,1.5563
combined,31530,11.8800,9.2700,1.2816
combined,31543,10.2400,8.0600,1.2705
combined,31664,12.1100,9.3100,1.3008
combined,31669,10.3900,8.0000,1.2988
combined,31798,12.1900,10.2800,1.1858
combined,31932,12.3100,10.5300,1.1690
combined,32305,12.6000,8.0100,1.5730
combined,32431,10.8100,8.6700,1.2468
combined,32468,12.2800,9.2900,1.3219
combined,32559,10.9000,8.1200,1.3424
combined,32602,11.8500,10.6300,1.1148
combined,32685,10.9300,8.0700,1.3544
combined,32736,12.4300,9.8300,1.2645
combined,32870,12.4500,10.8200,1.1506
combined,33321,13.0200,9.0600,1.4371
combined,33447,13.1100,8.2000,1.5988
combined,33540,12.4500,9.8400,1.2652
combined,33575,11.0900,8.3800,1.3234
combined,33674,12.8200,10.8300,1.1837
combined,33701,11.1500,8.3200,1.3401
combined,33808,13.2200,9.9900,1.3233
combined,33942,12.7300,10.3600,1.2288
combined,34337,11.3800,8.4800,1.3420
combined,34463,11.5000,8.4200,1.3658
combined,34591,13.4700,8.4400,1.5960
combined,34612,13.1400,9.8500,1.3340
combined,34717,13.5600,8.5500,1.5860
combined,34746,13.1200,9.8100,1.3374
combined,34880,13.0600,9.9300,1.3152
combined,35014,13.3800,10.2600,1.3041
combined,35353,13.6300,8.9900,1.5161
combined,35607,13.9800,9.3800,1.4904
combined,35684,12.9400,10.0000,1.2940
combined,35818,13.3600,10.5800,1.2628
combined,35952,13.5800,10.4900,1.2946
combined,36086,14.5300,10.2800,1.4134
combined,36369,14.3300,9.6500,1.4850
combined,36623,14.2100,10.9200,1.3013
combined,36756,14.2500,11.0700,1.2873
combined,37024,14.4900,10.1400,1.4290
combined,37385,14.8800,10.8000,1.3778
combined,37639,14.6200,10.8600,1.3462
combined,37828,14.7300,10.7100,1.3754
combined,38096,15.1800,11.6100,1.3075
combined,38401,15.1000,11.1000,1.3604
combined,38655,15.6600,10.3300,1.5160
combined,38900,15.2100,10.9000,1.3954
combined,39168,15.5400,10.5100,1.4786
combined,39972,15.7800,10.6400,1.4831
combined,40240,15.2000,11.6300,1.3070
